City_ID,City,Country,Lat,Lon,Max Temp,Description,Hotel Name
239,Lebrija,CO,36.9208,-6.0753,80.1,clear sky,Hostal Mellizo
240,Matamoros,MX,25.5333,-103.25,84.16,few clouds,Quinta Belem
241,Saint-georges,GF,12.0564,-61.7485,80.28,few clouds,Radisson Grenada Beach Resort
242,Murgab,TM,37.4966,61.9714,89.47,haze,Wepa Nurlyýew
243,Sinnamary,GF,5.3833,-52.95,77.04,few clouds,ALETHEIA Appartement Sinnamary
244,Ponca city,US,36.707,-97.0856,80.89,clear sky,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
245,Karratha,AU,-20.7377,116.8463,77.68,clear sky,ibis Styles Karratha
246,Wasaga beach,CA,44.5168,-80.0164,79.21,scattered clouds,Kingsbridge Inn
247,Tarakan,ID,3.3,117.6333,89.1,few clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
248,Linxia,CN,35.6003,103.2064,76.78,clear sky,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
249,Kununurra,AU,-15.7667,128.7333,84.18,clear sky,Hotel Kununurra
250,Sikeston,US,36.8767,-89.5879,83.91,clear sky,Drury Inn & Suites Sikeston
251,Ternate,ID,0.8,127.4,83.8,few clouds,Sahid Bela Ternate Hotel
252,Makat,KZ,47.6469,53.3463,80.91,scattered clouds,Umit
253,Koroni,GR,36.8,21.95,84.07,clear sky,Apartments Xenios Zeus 1
254,Warrensburg,US,38.7628,-93.7361,82.56,clear sky,Comfort Inn Warrensburg Station
255,Abu kamal,SY,34.4506,40.9171,84.54,clear sky,البوكمال
256,Mackay,AU,-21.15,149.2,77.68,clear sky,International Lodge Motel
257,Hazorasp,UZ,41.3194,61.0742,87.64,clear sky,Kemping wifi hotel
258,Luocheng,CN,29.3848,104.0286,81.18,scattered clouds,Luocheng Hotel
259,Sola,VU,-13.8833,167.55,80.47,few clouds,Leumerus Bungalows
260,Tarragona,ES,41.129,1.249,78.39,clear sky,Hotel SB Ciutat de Tarragona
261,Kumluca,TR,36.3703,30.2869,83.41,clear sky,Akkol Apart
262,Andros town,BS,24.7,-77.7667,82.36,clear sky,Hanks place
263,Sarakhs,IR,36.5449,61.1577,89.83,clear sky,مهمان سرای شرکت گاز
264,Andros,GR,37.8333,24.9333,77.56,clear sky,Micra Anglia Hotel - Andros
265,Progreso,MX,21.2833,-89.6667,81.1,scattered clouds,Playa Linda Hotel
266,Katsuura,JP,35.1333,140.3,82.98,clear sky,Katsuura Hotel Mikazuki
267,Semnan,IR,35.5729,53.3971,89.26,clear sky,Semnan Tourist Hotel
268,Marsa matruh,EG,31.3525,27.2453,76.17,clear sky,Beau Site
269,Wanning,CN,18.8003,110.3967,87.57,clear sky,Paradise Hotel
270,Woodward,US,36.4337,-99.3904,83.43,clear sky,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
271,Safaga,EG,26.7292,33.9365,85.75,scattered clouds,Lamar Resort Abu Soma
272,Nampa,US,43.5407,-116.5635,86.11,clear sky,Nampa Downtown
273,Tahta,EG,26.7693,31.5021,79.47,clear sky,فندق الزيات
274,Redwater,CA,33.3582,-94.2544,82.33,scattered clouds,Nettles Nest Country Inn
275,Post falls,US,47.718,-116.9516,79.45,clear sky,Red Lion Hotel Templin's on the River
276,Austin,US,30.2672,-97.7431,89.82,clear sky,"[""The Driskill - The Unbound Collection by Hyatt""]"
277,Rexburg,US,43.826,-111.7897,78.31,clear sky,AmericInn by Wyndham Rexburg BYUI
278,Little falls,US,40.869,-74.2082,84.76,clear sky,Casa Guadalupe
279,Labuhan,ID,-6.8844,112.2051,85.33,few clouds,DoubleFAG
